code,lotsize,contract_step,qty_freeze,Sector,Industry,MktCategory,Mcap,IntraSectorRank,NiftyRank,Underlying,symbol_TV,symbol_TV_1
TATAMOTORS,1425,10,28500,Consumer Durables,Motor Vehicles,,,,,TATA MOTORS LIMITED                 ,TATAMOTORS,NSE:TATAMOTORS!1
TATAPOWER,3375,5,67500,Utilities,Electric Utilities,,,,,TATA POWER CO LTD                   ,TATAPOWER,NSE:TATAPOWER!1
TCS,175,20,7000,Technology Services,Information Technology Services,,,,,TATA CONSULTANCY SERV LT            ,TCS,NSE:TCS!1
TITAN,175,20,7000,Consumer Durables,Other Consumer Specialties,,,,,TITAN COMPANY LIMITED               ,TITAN,NSE:TITAN!1
GRANULES,2000,5,60000,Health Technology,Pharmaceuticals: Other,,,,,GRANULES INDIA LIMITED              ,GRANULES,NSE:GRANULES!1
TORNTPHARM,500,20,10000,Health Technology,Pharmaceuticals: Major,,,,,TORRENT PHARMACEUTICALS L           ,TORNTPHARM,NSE:TORNTPHARM!1
GUJGASLTD,1250,5,50000,Utilities,Gas Distributors,,,,,GUJARAT GAS LIMITED                 ,GUJGASLTD,NSE:GUJGASLTD!1
TRENT,400,20,8000,Retail Trade,Apparel/Footwear Retail,,,,,TRENT LTD                           ,TRENT,NSE:TRENT!1
TVSMOTOR,350,20,14000,Consumer Durables,Motor Vehicles,,,,,TVS MOTOR COMPANY  LTD              ,TVSMOTOR,NSE:TVSMOTOR!1
UBL,400,20,16000,Consumer Non-Durables,Beverages: Alcoholic,,,,,UNITED BREWERIES LTD                ,UBL,NSE:UBL!1
HINDCOPPER,5300,2.5,106000,Non-Energy Minerals,Other Metals/Minerals,,,,,HINDUSTAN COPPER LTD                ,HINDCOPPER,NSE:HINDCOPPER!1
WIPRO,1500,5,60000,Technology Services,Information Technology Services,,,,,WIPRO LTD                           ,WIPRO,NSE:WIPRO!1
ZEEL,3000,5,90000,Consumer Services,Broadcasting,,,,,ZEE ENTERTAINMENT ENT LTD           ,ZEEL,NSE:ZEEL!1
ZYDUSLIFE,900,5,36000,Health Technology,Pharmaceuticals: Major,,,,,ZYDUS LIFESCIENCES LTD              ,ZYDUSLIFE,NSE:ZYDUSLIFE!1
HINDUNILVR,300,20,9000,Consumer Non-Durables,Household/Personal Care,,,,,HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,NSE:HINDUNILVR!1
IDEA,80000,1,1600000,Communications,Wireless Telecommunications,,,,,VODAFONE IDEA LIMITED               ,IDEA,NSE:IDEA!1
HAVELLS,500,10,15000,Producer Manufacturing,Electrical Products,,,,,HAVELLS INDIA LIMITED               ,HAVELLS,NSE:HAVELLS!1
IPCALAB,650,10,19500,Health Technology,Pharmaceuticals: Major,,,,,IPCA LABORATORIES LTD               ,IPCALAB,NSE:IPCALAB!1
LICHSGFIN,2000,5,60000,Finance,Finance/Rental/Leasing,,,,,LIC HOUSING FINANCE LTD             ,LICHSGFIN,NSE:LICHSGFIN!1
INDIACEM,2900,5,87000,Non-Energy Minerals,Construction Materials,,,,,THE INDIA CEMENTS LIMITED           ,INDIACEM,NSE:INDIACEM!1
LTIM,150,50,4500,Commercial Services,Miscellaneous Commercial Services,,,,,LTIMINDTREE LIMITED                 ,LTIM,NSE:LTIM!1
ITC,1600,2.5,64000,Consumer Non-Durables,Tobacco,,,,,ITC LTD                             ,ITC,NSE:ITC!1
AUBANK,1000,10,30000,Finance,Finance/Rental/Leasing,,,,,AU SMALL FINANCE BANK LTD           ,AUBANK,NSE:AUBANK!1
AUROPHARMA,1100,10,22000,Health Technology,Pharmaceuticals: Other,,,,,AUROBINDO PHARMA LTD                ,AUROPHARMA,NSE:AUROPHARMA!1
BATAINDIA,375,20,15000,Consumer Non-Durables,Apparel/Footwear,,,,,BATA INDIA LTD                      ,BATAINDIA,NSE:BATAINDIA!1
BERGEPAINT,1320,5,39600,Process Industries,Industrial Specialties,,,,,BERGER PAINTS (I) LTD               ,BERGEPAINT,NSE:BERGEPAINT!1
